JobName=PiEstimator, ID=attempt_201308081533_0001_m_000067_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976287282, FinishTime=1375976291660, ExecTime=4378 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000068_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976290718, FinishTime=1375976295226, ExecTime=4508 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000069_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976290287, FinishTime=1375976294644, ExecTime=4357 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000070_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976293725, FinishTime=1375976298239, ExecTime=4514 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000071_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976293293, FinishTime=1375976297592, ExecTime=4299 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000072_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976296732, FinishTime=1375976301357, ExecTime=4625 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000073_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976296299, FinishTime=1375976300664, ExecTime=4365 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000074_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976299737, FinishTime=1375976304318, ExecTime=4581 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000075_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976299304, FinishTime=1375976303660, ExecTime=4356 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000076_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976302744, FinishTime=1375976307278, ExecTime=4534 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000077_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976302309, FinishTime=1375976306676, ExecTime=4367 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000078_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976305750, FinishTime=1375976310349, ExecTime=4599 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000079_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976305315, FinishTime=1375976309748, ExecTime=4433 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000080_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976308757, FinishTime=1375976313342, ExecTime=4585 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000081_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976308321, FinishTime=1375976312664, ExecTime=4343 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000082_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976311762, FinishTime=1375976316295, ExecTime=4533 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000083_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976311327, FinishTime=1375976315763, ExecTime=4436 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000084_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976314769, FinishTime=1375976319392, ExecTime=4623 
